ttd_drug_id,trade_name,company,therapeutic_class,drug_type,highest_status
D09ATD,,"RANBAXY LABORATORIES LIMITED KHERA, Manoj, Kumar SATTIGERI, Jitendra SATTIGERI, Viswajanani YADAV, Neeraj, Kumar KUMAR, Kewal RAUF, Abdul, Rehman, Abdul CLIFFE, Ian, A. BHATNAGAR, Pradip, Kumar RAY, Abhijit SRIVASTAVA, Punit DASTIDAR, Sunanda, Ghosh",,Small molecular drug,Patented
D09BCJ,,"INSTYTUT FARMAKOLOGII POLSKIEJ AKADEMII NAUK,UNIWERSYTET JAGIELLO SKI",,Small molecular drug,Patented
D09EGD,,F. HOFFMANN-LA ROCHE AG HOFFMANN-LA ROCHE INC,,Small molecular drug,Patented
D09EIX,,"THE UNIVERSITY OF QUEENSLAND FAIRLIE, David Paul LIU, Ligong YAU, Mei-Kwan SUEN, Jacky Yung REID, Robert LOHMAN, Rink-Jan IYER, Abishek Venkatasubramanian LIM, Junxian BROWN, Lindsay CharleThe University of Queensland",,Small molecular drug,Patented
D09EPZ,,,,Small molecular drug,Patented
D09EWC,,"SANFORD-BURNHAM MEDICAL RESEARCH INSTITUTE PELLECCHIA, Maurizio",,Small molecular drug,Patented
D09EXQ,,VERTEX PHARMACEUTICALS INCORPORATED,,Carbohydrates,Patented
D09GWR,,"NATIONAL UNIVERSITY OF SINGAPORE RAGHUNATH, Michael BLOCKI, Anna",,Antibody,Patented
D09HTY,,Bristol-Myers Squibb Co,,Small molecular drug,Patented
D09ISI,,"ANYGEN CO., LTD. KIM, Yong-Chul KIM, Jae-Il BAN, Soo-Ho JEONG, Soon-Young CHOI, Soo-Jeong LEE, Jung-Eun",,Small molecular drug,Patented
D09JDV,,WASHINGTON UNIVERSITY,,Carbohydrates,Patented
D09JLL,,PRINCIPIA BIOPHARMA INC,,Small molecular drug,Patented
D09JTT,,TECHNION RESEARCH & DEVELOPMENT FOUNDATION LIMITED,,Small molecular drug,Patented
D09KCN,,"MERCK SHARP & DOHME CORP. PASTERNAK, Alexander DEJESUS, Reynalda, K. ZHU, Yuping YANG, Lihu WALSH, Shawn PIO, Barbara SHAHRIPOUR, Aurash TANG, Haifeng BELYK, Kevin KIM, Dooseop",,Small molecular drug,Patented
D09KWM,,Wisconsin-Alumni-Research-Foundation,,Small molecular drug,Patented
D09KYB,,"Allergan, Inc",,Small molecular drug,Patented
D09LAD,,"ABIDE THERAPEUTICS, INC",,Small molecular drug,Patented
D09LWP,,WASHINGTON UNIVERSITY,,Carbohydrates,Patented
D09OMM,,"THE BRIGHAM AND WOMEN'S HOSPITAL, INC. SHI, Yujiang Geno LIAN, Christine Guo",,Small molecular drug,Patented
D09OSS,,,,Small molecular drug,Patented
D09PAZ,,DEBRECENI EGYETEM,,Carbohydrates,Patented
D09PIS,,"CELLZOME LIMITED RAMSDEN, Nigel DAGOSTIN, Claudio",,,Patented
D09PVH,,CHONG KUN DANG PHARMACEUTICAL CORP,,Small molecular drug,Patented
D09RUN,,TAKEDA PHARMACEUTICAL COMPANY LIMITED,,,Patented
D09RWM,,LUNDBECK & CO AS H [DK],,Small molecular drug,Patented
D09SSG,,BRISTOL-MYERS SQUIBB COMPANY,,Small molecular drug,Patented
D09SWG,,"MERCK SHARP &amDOHME CORP. LIN, Linus, S. CHANG, Linda, L. CHOBANIAN, Harry NARGUND, Ravi, P",,Small molecular drug,Patented
D09UJB,,"PFIZER PRODUCTS INC. BRODNEY, Michael, Aaron CHEN, Yuhpyng, Liang COFFMAN, Karen, Jean KLEINMAN, Edward, Fox O'NEILL, Brian, Thomas",,Small molecular drug,Patented
D09VRO,,,,Small molecular drug,Patented
D09WPA,,NORTHEASTERN UNIVERSITY,,Small molecular drug,Patented
D09WRT,,"MERCK SHARP & DOHME CORP. PASTERNAK, Alexander DEJESUS, Reynalda, K. ZHU, Yuping YANG, Lihu WALSH, Shawn PIO, Barbara SHAHRIPOUR, Aurash TANG, Haifeng BELYK, Kevin KIM, Dooseop",,Small molecular drug,Patented
D09WUW,,ARES TRADING S.A,,Small molecular drug,Patented
D09XWR,,"AGENCY FOR SCIENCE, TECHNOLOGY AND RESEARCH NATIONAL UNIVERSITY OF SINGAPORE CHAI, Christina, L., L. BERNARDO, Paul, H. XU, Jin YU, Victor, C. WAN, Kah-Fei MOK, Henry, Y., K. SIVARAMAN, Thirunavukkarasu KJRISHNAMOORTHY, Janarthanan",,Small molecular drug,Patented
D0A0UX,,"MERCK SHARP &amDOHME CORP. PISSARNITSKI, Dmitri ZHAO, Zhiqiang",,Small molecular drug,Patented
D0A0VU,,UNIVERZA V LJUBLJANI,,Small molecular drug,Patented
D0A1DV,,THE TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,,Small molecular drug,Patented
D0A6EX,,"MERCK SHARP & DOHME CORP. PASTERNAK, Alexander DEJESUS, Reynalda, K. ZHU, Yuping YANG, Lihu WALSH, Shawn PIO, Barbara SHAHRIPOUR, Aurash TANG, Haifeng BELYK, Kevin KIM, Dooseop",,Small molecular drug,Patented
D0A6RG,,ALMIRALL SA [ESEASTWOOD PAUL ROBERT [ESBACH TANA JORDI [ESPAGES SANTACANA LLUIS MIQUEL [ES],,Small molecular drug,Patented
D0A6TU,,THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK,,Small molecular drug,Patented
D0A8BV,,"TOLERO PHARMACEUTICALS, INC",,Small molecular drug,Patented
D0A8EN,,"VIVOLUX AB LINDER, Stig LARSSON, Rolf",,Small molecular drug,Patented
D0A8GW,,"UNIVERSITY OF BASEL ERNST, Beat",,Carbohydrates,Patented
D0A9OC,,"Merck & Co., Inc",,Small molecular drug,Patented
D0A9RY,,"CISEN PHARMACEUTICAL CO., LTD. SHANGHAI INSTITUTE OF PHARMACEUTICAL INDUSTRY LI, Jianqi WANG, Wenya ZHOU, Bin XIE, Peng DU, Zhenxin LU, Xiulian WENG, Zhijie ZHANG, Qingwei HUANG, Daowei",,Small molecular drug,Patented
D0AA3P,,"INTERCEPT PHARMACEUTICALS, INC",,Small molecular drug,Patented
D0AC8H,,"NOVARTIS AG STRAUB, Christopher Sean CHEN, Zhuoliang",,Small molecular drug,Patented
D0AE0M,,"TOLERO PHARMACEUTICALS, INC",,Small molecular drug,Patented
D0AF4A,,"ST. JUDE CHILDREN'S RESEARCH HOSPITAL, INC",,Small molecular drug,Patented
D0AG2A,,"PFIZER LIMITED ANDREWS, Mark David BAGAL, Sharanjeet Kaur GIBSON, Karl Richard OMOTO, Kiyoyuki RYCKMANS, Thomas SKERRATT, Sarah Elizabeth STUPPLE, Paul Anthony",,,Patented
D0AH3R,,,,Small molecular drug,Patented
D0AJ3H,,DEBRECENI EGYETEM,,Carbohydrates,Patented
D0AK1F,,YM BIOSCIENCES AUSTRALIA PTY [AU],,Small molecular drug,Patented
D0AK2Y,,VERTEX PHARMACEUTICALS INCORPORATED,,Carbohydrates,Patented
D0AP1F,,RICHTER GEDEON NYRT,,Small molecular drug,Patented
D0AP6V,,,,Small molecular drug,Patented
D0AR6B,,"ONYX THERAPEUTICS, INC",,Small molecular drug,Patented
D0AU4G,,NERVIANO MEDICAL,,,Patented
D0AV1B,,Kissei Pharmaceutical Co. Ltd,,Small molecular drug,Patented
D0AX4Q,,"REATA PHARMACEUTICALS, INC",,Small molecular drug,Patented
D0AX9N,,"ARENA PHARMACEUTICALS, INC",,Small molecular drug,Patented
D0AY0H,,VERTEX PHARMACEUTICALS INCORPORATED,,Carbohydrates,Patented
D0B0AS,,GAMBRO LUNDIA AB [SEJOENSSON LENNART [SENILSSON EDDIE [SESTERNBY JAN [SE],,Small molecular drug,Patented
D0B0GG,,"THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL MOUNT SINAL SCHOOL OF MEDICINE ORLOWSKI, Robert, Z. ORLOWSKI, Marian",,Small molecular drug,Patented
D0B0VK,,CORNELL UNIVERSITY,,Small molecular drug,Patented
D0B2GM,,"MERCK SHARP & DOHME CORP. TSUI, Hon-Chung PALIWAL, Sunil FISCHMANN, Thierry Olivier",,,Patented
D0B2NV,,"LES LABORATOIRES SERVIELES LABORATOIRES SERVIER ROBERT, Nicolas LERESTIF, Jean-Michel LECOUVE, Jean-Pierre GAILLARD, Marina DELCROIX - MEUNIER, Julie LETELLIER, Philippe BOIRET, MathieLES LABORATOIRES SERVIER TROCME-THIBIERGE, Caryn SORS, Aurore KEIME GUIBERT, FlorencLES LABORATOIRES SERVIER CASARA, Patrick CHOLLET, Anne-Marie DHAINAUT, Alain BERT, Lionel LESTAGE, Pierre LOCKHART, Brian",,Small molecular drug,Patented
D0B2YJ,,NTZ LAB LTD [BG],,Small molecular drug,Patented
D0B3GX,,CANCER RESEARCH TECHNOLOGY LIMITED,,Small molecular drug,Patented
D0B3RK,,GE HEALTHCARE LIMITED,,Small molecular drug,Patented
D0B5NJ,,TAISHO PHARMA CO LTD [JP],,Small molecular drug,Patented
D0B5QU,,,,Small molecular drug,Patented
D0B7FH,,"Brandeis University and University of Georgia Research Foundation, Inc",,Small molecular drug,Patented
D0B7KP,,BIOGEN MA INC,,Small molecular drug,Patented
D0B7NS,,"JANSSEN PHARMACEUTICA N.V. DVORAK, Curt, A. RUDOLPH, Dale, A. SHIREMAN, Brock, TJanssen Pharmaceutica NV",,Small molecular drug,Patented
D0B9LM,,VERTEX PHARMACEUTICALS INCORPORATED,,Carbohydrates,Patented
D0B9ML,,"IMPACT THERAPEUTICS, INC.  CAI, Suixiong  TIAN, Ye Edward  WANG, Xiaozhu  XIE, Kai  LI, Sicun  YU, Zenghui  GU, Chengyun  LIU, Lijun",,Small molecular drug,Patented
D0B9TH,,INCYTE CORPORATION,,Small molecular drug,Patented
D0BA5J,,METHYLGENE INC,,Small molecular drug,Patented
D0BI0F,,"GREEN CROSS CORPORATION LEE, Jinhwa KIM, Jeongmin JUNG, Myung Eun KIM, Jong Yup AHN, Kwangwoo SEO, Hee Jeong LEE, Sung-Han LEE, Suk Ho",,Small molecular drug,Patented
D0BK2I,,CURADEV PHARMA PVT. LTD,,Small molecular drug,Patented
D0BL4H,,"NEUPHARMA, INC. QIAN, Xiangping ZHU, Yong-liang",,Small molecular drug,Patented
D0BL8W,,"EPIZYME, INC",,Small molecular drug,Patented
D0BN9E,,"ENANTA PHARMACEUTICALS, INC",,Small molecular drug,Patented
D0BU3L,,Obseva SA,,Small molecular drug,Patented
D0BV4M,,"CHDI FOUNDATION, INC",,Small molecular drug,Patented
D0BW2B,,"VIEVAX CORP. MAHAIRAS, Gregory, G",,Vaccine,Patented
D0BY1R,,KARUS THERAPEUTICS LTD,,Small molecular drug,Patented
D0C0BP,,"F. HOFFMANN-LA ROCHE AG LUK, Kin-Chun Thomas",,Small molecular drug,Patented
D0C0KI,,,,Small molecular drug,Patented
D0C0LQ,,University of Iowa Research Foundation,,Small molecular drug,Patented
D0C2DV,,VANDERBILT UNIVERSITY,,Small molecular drug,Patented
D0C2EW,,NTZ LAB LTD [BG],,Small molecular drug,Patented
D0C2MH,,F. HOFFMANN-LA ROCHE AG HOFFMANN-LA ROCHE INC,,Small molecular drug,Patented
D0C2UP,,"ST. JUDE CHILDREN'S RESEARCH HOSPITAL, INC",,Small molecular drug,Patented
D0C3HN,,TAKEDA PHARMACEUTICAL COMPANY LIMITED,,Small molecular drug,Patented
D0C3RK,,PFIZER INC,,,Patented
D0C4BJ,,"MERCK SHARP & DOHME CORP. PASTERNAK, Alexander DEJESUS, Reynalda, K. ZHU, Yuping YANG, Lihu WALSH, Shawn PIO, Barbara SHAHRIPOUR, Aurash TANG, Haifeng BELYK, Kevin KIM, Dooseop",,Small molecular drug,Patented
D0C4JQ,,"ONYX THERAPEUTICS, INC. PHIASIVONGSA, Pasit SEHL, Louis, C",,Small molecular drug,Patented
D0C4TB,,,,Small molecular drug,Patented
D0C4VR,,"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE UNIVERSITE DE STRASBOURG RUAT, Martial FAURE, H&eacute;l&egrave;ne ROUDAUT, Hermine HOCH, Lucile SCHOENFELDER, Ang&egrave;le TADDEI, Maurizio MANN, Andr&eacute",,Small molecular drug,Patented
D0C6OW,,"WYETH KREFT, Anthony, Frank RESNICK, Lynn MAYER, Scott, Christian DIAMANTIDIS, George COLE, Derek, Cecil WANG, Tingzhong GALANTE, Rocco, John HOKE, Molly HARRISON, Boyd, Lynn ZHANG, Minsheng",,Small molecular drug,Patented
D0C6VX,,"MERCK PATENT GMBH DORSCH, Dieter WUCHERER-PLIETKER, Margarita MUELLER, Thomas, J., J. MERKUL, Eugen",,Small molecular drug,Patented
D0C7HZ,,Janssen Pharmaceutica NV,,Small molecular drug,Patented
D0C8EB,,"UNIVERSITY OF BASEL ERNST, Beat HEROLD, Janno",,Carbohydrates,Patented
D0CB1C,,,,Small molecular drug,Patented
D0CC7A,,"MERCK SHARP & DOHME CORP. PASTERNAK, Alexander DEJESUS, Reynalda, K. ZHU, Yuping YANG, Lihu WALSH, Shawn PIO, Barbara SHAHRIPOUR, Aurash TANG, Haifeng BELYK, Kevin KIM, Dooseop",,Small molecular drug,Patented
D0CD8G,,"IMPACT THERAPEUTICS, INC.  CAI, Suixiong  TIAN, Ye Edward  WANG, Xiaozhu  XIE, Kai  LI, Sicun  YU, Zenghui  GU, Chengyun  LIU, Lijun",,Small molecular drug,Patented
D0CE1R,,"KADMON CORPORATION, LLC",,Antibody,Patented
D0CE8B,,"METASIGNAL THERAPEUTICS INC. SUPURAN, Claudiu DEDHAR, Shoukat CARTA, Fabrizio WINUM, Jean-Yves MCDONALD, Paul C UNIVERSITE MONTPELLIER 2 SCIENCES ET TECHNIQUES CNRS - DIRE",,Small molecular drug,Patented
D0CG8N,,MERCK SHARP & DOHME CORP,,,Patented
D0CH4M,,KARUS THERAPEUTICS LTD,,Small molecular drug,Patented
D0CI2I,,"MERCK SHARP & DOHME CORP. PASTERNAK, Alexander DEJESUS, Reynalda, K. ZHU, Yuping YANG, Lihu WALSH, Shawn PIO, Barbara SHAHRIPOUR, Aurash TANG, Haifeng BELYK, Kevin KIM, Dooseop",,Small molecular drug,Patented
D0CI6Y,,Merck Sharp & Dohme Corp,,Small molecular drug,Patented
D0CK8H,,"VERTEX PHARMACEUTICALS INCORPORATED BINCH, Hayley BRENCHLEY, Guy GOLEC, Julian, M., C. KNEGTEL, Ronald MORTIMORE, Michael PATEL, Sanjay RUTHERFORD, Alistair",,Small molecular drug,Patented
D0CN6Q,,WASHINGTON UNIVERSITY,,Carbohydrates,Patented
D0CN7A,,VERTEX PHARMACEUTICALS INCORPORATED,,Carbohydrates,Patented
D0CR0H,,Novartis AG,,Small molecular drug,Patented
D0CS9R,,"F. HOFFMANN-LA ROCHE AG ARZENO, Humberto, Bartolome FILONOVA, Lubov GOLDSTEIN, David, Michael GONG, Leyi LOE, Bradley, E. O'BRIEN, Erin, M. PALMER, Wylie, Solang ROTSTEIN, David, Mark SILVA, Tania TAN, Yun-chou",,Small molecular drug,Patented
D0CV1Q,,CENTRE NAT RECH SCIENT [FR,,Small molecular drug,Patented
D0CW2F,,,,Small molecular drug,Patented
D0D0AX,,VEGENICS PTY LIMITED,,Antibody,Patented
D0D2BV,,"F. HOFFMANN-LA ROCHE AG HOFFMANN-EMERY, Fabienne JAKOB-ROETNE, Rolan",,Small molecular drug,Patented
D0D2PS,,F. HOFFMANN-LA ROCHE AG HOFFMANN-LA ROCHE INC,,Small molecular drug,Patented
D0D2PU,,Peptron Inc,,Small molecular drug,Patented
D0D2QE,,"THE WASHINGTON UNIVERSITY JANETKA, James W. HAN, Zhenfu HULTGREN, Scott PINKNER, Jerry CUSUMANO, Corrine",,Carbohydrates,Patented
D0D2YG,,TAKEDA PHARMACEUTICAL COMPANY LIMITED,,Small molecular drug,Patented
D0D3BL,,,,Small molecular drug,Patented
D0D4BP,,,,Small molecular drug,Patented
D0D5YK,,Bristol-Myers Squibb Co,,Small molecular drug,Patented
D0D7AI,,"MERCK SHARP & DOHME CORP. PASTERNAK, Alexander DEJESUS, Reynalda, K. ZHU, Yuping YANG, Lihu WALSH, Shawn PIO, Barbara SHAHRIPOUR, Aurash TANG, Haifeng BELYK, Kevin KIM, Dooseop",,Small molecular drug,Patented
D0D7AJ,,,,Small molecular drug,Patented
D0D7SL,,"Allergan, Inc",,Small molecular drug,Patented
D0D8MK,,"SUPERGEN, INC. VANKAYALAPATI, Hariprasad LIU, Xiao-hui BEARSS, David, J",,Small molecular drug,Patented
D0D8PF,,"MERCK SHARP & DOHME CORP. TSUI, Hon-Chung PALIWAL, Sunil FISCHMANN, Thierry Olivier",,,Patented
D0D9CK,,UNIVERSITY OF CANBERRKYOTO PREFECTURAL PUBLIC UNIVERSITY CORPORATION PUBLIC UNIVERSITY CORPORATION NAGOYA CITY UNIVERSITY EDUCATIONAL CORPORATION KANSAI BUNRI SOUGOUGAKUEN FRONTIER PHARMA INC. KYOTO UNIVERSITY,,Small molecular drug,Patented
D0DA6B,,"CISEN PHARMACEUTICAL CO., LTD. SHANGHAI INSTITUTE OF PHARMACEUTICAL INDUSTRY",,Small molecular drug,Patented
D0DC7I,,"CURIS, INC",,Small molecular drug,Patented
D0DD4I,,"NEVADA CANCER INSTITUTE SHENZHEN GRADUATE SCHOOL OF PEKING UNIVERSITY ZHANG, Hui YE, Tao QUAN, Junmin WANG, Jing",,Small molecular drug,Patented
D0DE5I,,"Japan Tobacco, Inc",,Small molecular drug,Patented
D0DG0F,,ABBOTT LABORATORIES,,Small molecular drug,Patented
D0DG4A,,"MERCK SHARP & DOHME CORP. PASTERNAK, Alexander DEJESUS, Reynalda, K. ZHU, Yuping YANG, Lihu WALSH, Shawn PIO, Barbara SHAHRIPOUR, Aurash TANG, Haifeng BELYK, Kevin KIM, Dooseop",,Small molecular drug,Patented
D0DH0O,,"IMPACT THERAPEUTICS, INC",,Small molecular drug,Patented
D0DH7R,,KARUS THERAPEUTICS LTD,,Small molecular drug,Patented
D0DI1R,,Sanofi-Aventis,,Small molecular drug,Patented
D0DK3R,,PRINCIPIA BIOPHARMA INC,,Small molecular drug,Patented
D0DL5J,,"MCCORD, Darlene E. KARAGIANNIS, Thomas",,Small molecular drug,Patented
D0DN3Q,,DR. REDDY'S LABORATORIES LTD,,,Patented
D0DO6K,,"MERCK SHARP & DOHME CORP. TSUI, Hon-Chung PALIWAL, Sunil FISCHMANN, Thierry Olivier",,,Patented
D0DP6U,,"Genentech, Inc., USA. assignee",,Small molecular drug,Patented
D0DP8E,,Incyte Corporation,,Small molecule immunotherapy,Patented
D0DU4H,,"ONYX THERAPEUTICS, INC",,Small molecular drug,Patented
D0DV4X,,CANCER RESEARCH TECHNOLOGY LIMITED,,Small molecular drug,Patented
D0DW5P,,University China Pharma,,Small molecular drug,Patented
D0DW7A,,VERTEX PHARMACEUTICALS INCORPORATED,,Carbohydrates,Patented
D0DX8P,,"MERCK SHARP & DOHME CORP. PASTERNAK, Alexander DEJESUS, Reynalda, K. ZHU, Yuping YANG, Lihu WALSH, Shawn PIO, Barbara SHAHRIPOUR, Aurash TANG, Haifeng BELYK, Kevin KIM, Dooseop",,Small molecular drug,Patented
D0DY3A,,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA BOARD OF TRUSTEES OF MICHIGAN STATE UNIVERSITY,,Small molecular drug,Patented
D0DY5R,,MERCK SHARP & DOHME CORP,,,Patented
D0E0SA,,"Shionogi & Co., Ltd. KUROSE, Noriyuki",,Small molecular drug,Patented
D0E1GC,,WASHINGTON UNIVERSITY,,Carbohydrates,Patented
D0E2AF,,"MERCK FROSST CANADA LTD. GAUTHIER, Jacques-Yves TRUONG, Vouy-Lin",,Small molecular drug,Patented
D0E2VI,,"BOEHRINGER INGELHEIM INTERNATIONAL GMBH GIOVANNINI, Riccardo BERTANI, Barbara FERRARA, Marco LINGARD, Iain MAZZAFERRO, Rocco ROSENBROCK, Holger",,Small molecular drug,Patented
D0E2WK,,"MERCK SHARP &amDOHME CORP. AHEARN, Sean, P. CHRISTOPHER, Matthew JUNG, Joon PU, Qinglin RIVKIN, Alexey SCOTT, Mark, E. WITTER, David, J. WOO, Hyun Chong CASH, Brandon DINSMORE, Christopher GUERIN, David",,Small molecular drug,Patented
D0E2WS,,Merck Sharp & Dohme Corp,,Small molecular drug,Patented
D0E2XN,,"BIO IMAGING KOREA CO., LTD",,Small molecular drug,Patented
D0E4TO,,"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE UNIVERSITE DE STRASBOURG RUAT, Martial FAURE, H&eacute;l&egrave;ne ROUDAUT, Hermine HOCH, Lucile SCHOENFELDER, Ang&egrave;le TADDEI, Maurizio MANN, Andr&eacute",,Small molecular drug,Patented
D0E5AT,,"F. HOFFMANN-LA ROCHE AG ARORA, Nidhi CHEN, Shaoqing HERMANN, Johannes, Cornelius KUGLSTATTER, Andreas LABADIE, Sharada, Shenvi LIN, Clara Jeou Jen LUCAS, Matthew, C. MOORE, Amy, Geraldine PAPP, Eva TALAMAS, Francisco, Xavier WANNER, Jutta ZHAI, Yansheng",,Small molecular drug,Patented
D0E5CO,,KARUS THERAPEUTICS LTD,,Small molecular drug,Patented
D0E5ED,,"INTERCEPT PHARMACEUTICALS, INC",,Small molecular drug,Patented
D0E5WC,,UNIVERZA V LJUBLJANI,,Small molecular drug,Patented
D0E6ED,,"ONYX THERAPEUTICS, INC",,Small molecular drug,Patented
D0E7FT,,NEUROLIXIS UNIVERSITE JAGELLONNE,,Small molecular drug,Patented
D0E7OA,,NEW ENGLAND BIOLABS INC,,Nucleotide,Patented
D0E7TU,,"CHDI FOUNDATION, INC",,Small molecular drug,Patented
D0EA6L,,"PFIZER PRODUCTS INC. HUANG, Liming LIU, Song LUNNEY, Elizabeth, Ann PLANKEN, Simon, Paul",,Small molecular drug,Patented
D0EB7G,,"INTERCEPT PHARMACEUTICALS, INC",,Small molecular drug,Patented
D0EC3Z,,"Japan Tobacco, Inc",,Small molecular drug,Patented
D0EE3P,,"CISEN PHARMACEUTICAL CO., LTD. SHANGHAI INSTITUTE OF PHARMACEUTICAL INDUSTRY",,Small molecular drug,Patented
D0EF0P,,"ALBANY MOLECULAR RESEARCH, INC. CIOFFI, Christopher, L. WOLF, Mark, A. GUZZO, Peter, R. LIU, Shuang SADALAPURE, Kashinath PARTHASARATHY, Visweswaren MAENG, Jun-ho",,Small molecular drug,Patented
D0EF9J,,the Shanghai Institute of Pharmaceutical Industry,,Small molecular drug,Patented
D0EG4F,,,,Small molecular drug,Patented
D0EM8D,,"THE REGENTS OF THE UNIVERSITY OF MICHIGAN DONATO, Nicholas, J. WOBUS, Christiane SHOWALTER, H. D. Hollis TALPAZ, Moshe PERRY, Jeffrey, William SORENSON, Roderick, Joseph O'RIORDAN, Mary, Xuan Dziem JIN, Yafei",,Small molecular drug,Patented
D0EO1L,,"NORTHWESTERN UNIVERSITY ONCOTHYREON INC. GORDON, Leo I. EVENS, Andrew PESTANO, Linda FOWLER, Kerry PETERSON, Scott",,Small molecular drug,Patented
D0EO8F,,UNIV RIO DE JANEIRO [BRUNIAO BRASILIENSE DE EDUCACAO E CULTURA UBEC [BR,,Small molecular drug,Patented
D0EO9Z,,"VAMVAKIDES, Alexandre",,Small molecular drug,Patented
D0EU5A,,KARUS THERAPEUTICS LTD,,Small molecular drug,Patented
D0EW9W,,"THE UNITED STATES OF AMERICA, AS REPRESENTED BY THE SECRETARY, DEPARTMENT OF HEALTH AND HUMAN SERVICES TARASOVA, Nadya I. TRINCHIERI, Giorgio YOUNG, Howard A. STEWART, C. Andrew CARDONE, Marco A. PERANTONI, Alan O",,Small molecular drug,Patented
D0EX3N,,"REGENTS OF THE UNIVERSITY OF MINNESOTA PANKIEWICZ, Krzysztof CHEN, Liqiang VINCE, Robert",,Small molecular drug,Patented
D0EX5A,,KYORIN SEIYAKU KK [JPTAKAHASHI HIROYASU [JPHIGUCHI HIROMI [JP],,,Patented
D0EX9E,,Merck Sharp & Dohme Corp,,Small molecular drug,Patented
D0EZ6C,,"NATIONAL CANCER CENTER       KIM, Soo Youl     LEE, Chang Hoon",,Small molecular drug,Patented
D0EZ9G,,F. HOFFMANN-LA ROCHE AG HOFFMANN-LA ROCHE INC,,Small molecular drug,Patented
D0F0TY,,Merck Sharp & Dohme Corp,,Small molecular drug,Patented
D0F2NW,,"F. HOFFMANN-LA ROCHE AG ARORA, Nidhi CHEN, Shaoqing HERMANN, Johannes, Cornelius KUGLSTATTER, Andreas LABADIE, Sharada, Shenvi LIN, Clara Jeou Jen LUCAS, Matthew, C. MOORE, Amy, Geraldine PAPP, Eva TALAMAS, Francisco, Xavier WANNER, Jutta ZHAI, Yansheng",,Small molecular drug,Patented
D0F3BK,,"CALITOR SCIENCES, LLC SUNSHINE LAKE PHARMA CO., LTD",,Small molecular drug,Patented
D0F3HA,,,,Small molecular drug,Patented
D0F3SQ,,"INTERCEPT PHARMACEUTICALS, INC",,Small molecular drug,Patented
D0F4NB,,"INSTYTUT FARMAKOLOGII POLSKIEJ AKADEMII NAUK,UNIWERSYTET JAGIELLO SKI",,Small molecular drug,Patented
D0F8BF,,MERCK SHARP & DOHME CORP,,,Patented
D0F8LE,,VANDERBILT UNIVERSITY,,Small molecular drug,Patented
D0F8PG,,"SANOFSANOFI LANGEVIN, Beverly C. FARR, Robert Allan SHAH, Dinubhai H. SHERER, DanieSANOFI-AVENTIS DIAZ MARTIN, Juan Antonio JIMENEZ BARGUENO, Maria Dolores",,Small molecular drug,Patented
D0F9QC,,"AGENCY FOR SCIENCE, TECHNOLOGY AND RESEARCH NATIONAL UNIVERSITY OF SINGAPORE CHAI, Christina, L., L. BERNARDO, Paul, H. XU, Jin YU, Victor, C. WAN, Kah-Fei MOK, Henry, Y., K. SIVARAMAN, Thirunavukkarasu KJRISHNAMOORTHY, Janarthanan",,Small molecular drug,Patented
D0FB1Q,,"NOVARTIS AG BURGER, Matthew DING, Yu HAN, Wooseok LINDVALL, Mika NISHIGUCHI, Gisele A. RICO, Alice SMITH, Aaron TANNER, Huw WAN, Lifeng",,Small molecular drug,Patented
D0FC5J,,Merck Sharp & Dohme Corp,,Small molecular drug,Patented
D0FG2H,,ABBVIE DEUTSCHLAND [DEABBVIE INC [US],,Small molecular drug,Patented
D0FI3A,,GLAXOSMITHKLINE INTELLECTUAL PROPERTY (NO.2) LIMITED,,Small molecular drug,Patented
D0FJ4A,,"MERCK SHARP & DOHME CORP. TSUI, Hon-Chung PALIWAL, Sunil FISCHMANN, Thierry Olivier",,,Patented
D0FJ8E,,University of Kentucky Research Foundation,,Small molecular drug,Patented
D0FK5P,,"Allergan, Inc",,Small molecular drug,Patented
D0FK6N,,Aurigene Discovery Technologies Limited,,Peptide,Patented
D0FK6Y,,"KALA PHARMACEUTICALS, INC",,Small molecular drug,Patented
D0FL3H,,VERTEX PHARMACEUTICALS INCORPORATED,,Carbohydrates,Patented
D0FL6P,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,,Small molecular drug,Patented
D0FM6Y,,F. HOFFMANN-LA ROCHE AG HOFFMANN-LA ROCHE INC,,Small molecular drug,Patented
D0FS9V,,VERTEX PHARMACEUTICALS INCORPORATED,,Carbohydrates,Patented
D0FU2M,,,,Small molecular drug,Patented
D0FV9R,,WONKWANG UNIVERSITY CENTER FOR INDUSTRY-ACADEMY COOPERATION,,Small molecular drug,Patented
D0FY1Q,,"KYOWA HAKKO KIRIN CO., LTD",,Small molecular drug,Patented
D0FY2Q,,"HUNAN NONFERROUS METALS GROUP CHEMBIO PHARMACY CO., LTD. ZHANG, Shixi",,Small molecular drug,Patented
D0FZ1H,,Gilead Sciences Inc,,Small molecular drug,Patented
D0G0FK,,"ALMIRALL, S.AABBVIE INC",,Small molecular drug,Patented
