ttd_drug_id,trade_name,company,therapeutic_class,drug_type,highest_status
D02PPN,,Novartis,Central Nervous System Stimulants,Small molecular drug,Approved
D02QFW,Daybue,Acadia Pharmaceuticals,,Small molecular drug,Approved
D02RQU,,Bristol-Myers Squibb,Anticholesteremic Agents,Small molecular drug,Approved
D02RSN,,Sanofi-Aventis,Antibiotics,Small molecular drug,Approved
D02TBI,,Roerig Div Pfizer Inc,Antibiotics,Small molecular drug,Approved
D02ULU,Ozempic,Novo Nordisk,,Small molecular drug,Approved
D02URM,Rezzayo,Cidara Therapeutics,,Small molecular drug,Approved
D02VFC,,Merck & Co,Antibiotics,Small molecular drug,Approved
D02VPX,,United Research Laboratories,Vitamins,Small molecular drug,Approved
D02WIW,,Schering Corp Sub Schering Plough Corp,Antihistamines,Small molecular drug,Approved
D02XIY,,Norvatis Phamaceuticals Corporation,Anabolic Agents,Small molecular drug,Approved
D02XJY,,Shire Canada Inc,Vasoconstrictor Agents,Small molecular drug,Approved
D02XSA,Diacomit,Biocodex,,Small molecular drug,Approved
D02YIZ,,Eli Lilly,Antibiotics,Small molecular drug,Approved
D02YPG,,Janssen Pharmaceutica,Analgesics,Small molecular drug,Approved
D02YYF,,Hospira Inc,Antiarrhythmic Agents,Small molecular drug,Approved
D02ZTJ,,Watson Laboratories,Antiinflammatory Agents,Small molecular drug,Approved
D02ZXM,,Glaxo Smith Kline Pharmaceuticals,Anticancer Agents,Small molecular drug,Approved
D03BLF,,Aventis Pharmaceuticals Inc.,Antiinflammatory Agents,Small molecular drug,Approved
D03CJL,,Janssen Pharmaceutica,Antipsychotic Agents,Small molecular drug,Approved
D03CQE,,Bristol-Myers Squibb,Antiinfective Agents,Small molecular drug,Approved
D03CUF,,GlaxoSmithKline,Antiinfective Agents,Small molecular drug,Approved
D03DAP,,3M pharmaceuticals,Antiarrhythmic Agents,Small molecular drug,Approved
D03DDR,,Pfizer Pharmaceuticals,Antimalarials,Small molecular drug,Approved
D03DIG,,Forest Pharmaceuticals,Analgesics,Small molecular drug,Approved
D03DXN,,Wyeth Ayerst Laboratories,Anticancer Agents,Small molecular drug,Approved
D03ELL,,Sanofi-Aventis,Antipsychotic Agents,Small molecular drug,Approved
D03FLC,,GSK,Anticonvulsants,Small molecular drug,Approved
