disease_name,icd11_code
Falciparum malaria,1F40-1F45
Retinal vein occlusion,9B74
X-linked Adrenoleukodystrophy,5C57
Epithelioid mesothelioma,2F10
Aging,MG2A
Parainfluenza virus infection,1D9Y
Metapneumovirus infection,CA40.13
Infantile malignant osteopetrosis,LD24.10
HER2-positive metastatic breast cancer,2C60-2C65
Acute graft versus host disease,4B24.0
Paratyphoid (A) enteric fever,1A08
Salmonella typhoid,1A09
Enterobacteriaceae infection,MG50.C
Alcohol use disorder,6C40.2
Autosomal dominant polycystic kidney disease,GB81
Non-typhoidal salmonella,1A09
Encephalitis virus infection,1C83-1C84
Metastatic epithelial tumour,2D60
Typhoid,1A07
COPD,1D6Y
Myeloma,2A83
Diabetic Macular Oedema,9B71.02
Gonorrhea,1A7Z
Progressive multifocal leukoencephalopathy,8A45.02
Gram-negative bacterial infection,1B74-1G40
Refractory multiple myeloma,2A83
Opioid use disorder,6C43.2Z
Ependymoma,2A00.0Y
Atypical teratoid/rhabdoid tumour,2A00.1Y
Pineoblastoma,2A00.20
Choroid plexus carcinoma,2A02.12
Germ cell tumour,2C80.2
Refractory metastatic multiple myeloma,2A83.1
Peripheral nervous system tumour,2B5E
Neurologic conditions associated with aminoacylase 1 deficiency,5C50.E1
Spinocerebellar ataxia,8A03.16
Inflammatory pain,MG30.42
"Hand, foot and mouth disease",1F05.0
Chronic back pain,ME86
Tauopathy,6D85.Y
Intoxication,6C40-6C4B
Ocular cancer,2D00-2D07
Coronary ischemia,BA50-BA51
Toxic shock syndrome,1B52
Neurogenic detrusor overactivity,GC01
Spinal disease,FA72
Airway inflammation,CA05
Autoimmune hepatitis,DB96.0
Tendon injuries,NC96.0
Isosporiasis,1A33
XY disorder of sex development due to androgen resistance,LD2A.4
Neuroinflammation,1D0Y
Anhedonia,MB24.2
Respiratory syndrome coronavirus infection,1D92
Spastic paralysis,MB5Y
Malignant adrenal gland cancer,2D11
Skin photoaging,EJ20
Apnea,MD11.0
Gastroesophageal junction adenocarcinoma,2B71
Cardiac arrest,MC82
Aerodigestive tract cancer,2C29.Z
Pheumatoid arthritis,FA2Z
Various major chronic disease,N.A.
Non-syndromic ichthyosis,EC20.0Y
Autosomal recessive congenital ichthyosis,EC20.02
Allodynia,MB40.1
Burkitt cell leukaemia,2A85.6
Syndromic genetic deafness,LD2H
Influenza A virus H7N1 infection,1E30
Hyperlipemia,5C80
Marburg virus infection,1D60.1
Mesothelin Positive tumour,2C51-2F10
West nile virus infection,1D46
Nodular prurigo,EC91.0
Phlebothrombosis,GB90.3
Pleural mesothelioma,2C26.0
Chronic blistering skin disorder,ME63.3
Amenorrhea,GA20.0
Hypoxia,MD11.1
Ganglioneuroblastoma,2A00.11
Neurogenic bladder dysfunction,GC01.4
Aortic valve stenosis,BB70
Cerebral oedema in diabetic ketoacidosis,8D60.1
Ricin poisoning,NE61
Malignant lymphatic,2A82
Thrombotic stroke,8B20
Neurotoxicity,NE61
Functional bowel disorder,DD91
B-cell small lymphocytic lymphoma,2A82.0
Lung disease,CA60-CA8Z
Oropharyngeal cancer,2B6A
Acute myeloid lymphoma,2A80
Botulism,1A11
Cystinosis,5C60.1
Cirrhosis,DB93
Nasal polyp,CA0J
Myelopathy,8B42
Myocardial hypertrophy,BC45
Albinism,EC23.2
Ephelides,ED61.0
Senile lentigines,ED61.0
Hepatitis,DB97.Z
Allergic inflammation,4A80-4A85
Graft rejection,NE84
Meningioma tumour,2A01
Carotid artery disease,8B10
Corneal neovascularization,9A78
Blood vessel proliferative disorder,BE2Z
Cell proliferative disorder,FB86
Reflux disease,DA22
Copper metabolism disorder,5C64.0
Aberrant vascularization,BE2Z
Cas mediated disorder,N.A.
Malignant thymoma,2C27.2
Muscular wasting,8C7Y
Gastric ulcer,DA60
Corticobasal degeneration,8A00.1Y
Knee pain,ME82
Histamine H3-associated disorder,NE61
Irritant contact dermatitis,EK02
Photocontact dermatitis,EK20
Hair loss,ED70
Bone cancer,2B5Z
Trematode infection,1F8Y
Depressive fatigue,MG22
Laxative,FA34.1
Cervical dilation,JB02.0
Irregularities,N.A.
Pollakiuria,MF50.1
Male sexual disorder,HA02.0
Disseminated intravascular coagulation,3B20
Platelet aggregation disorder,3B62
Estrogen deficiency,FB83.0Y
Anal intraepithelial neoplasia,2E92.5
Hypertonia,KB08.1
Chronic renal failure,GB61.Z
Colon polyp,DB35
Kidney/heart transplant rejection,NE84
Lesion,8A00-8C12
Corneal ulcer,9A76
Pulmonary emphysema,CA21.Z
Fracture,ND56
Occlusive arterial disease,BD4Z
Salivary gland dysfunction,5B0Z
Lipodystrophy,EF01
Anaplastic mixed oligoastrocytoma,2A00.0Y
Typhoid fever,1A07
Salmonella infection,1A08
Cryptosporidium infection,1A32
Nervous system cancer,2A00
Paralysis,8B60
Episode,N.A.
Nonvalvular atrial fibrillation,BC81.3Y
Incontinence,MF50.2
Chronic neuropathic pain,MG30.5
Chemotherapy or radiotherapy-induced mucositis,DA42-DA60
Heavy metal poisoning,NE60
Esophagus sensitivity,DA2Y-DA2Z
Peripheral nerve damage,ND56.4
Weight gain,MG43.6
Hughes syndrome,4A45.Z
Miscarriage,JA00.0
Atrial flutter,BC81.2Z
Metastatic lung cancer,2D70
Intestine cancer,2C0Z
Pten-deficient tumour,2C50-2F93
Cervical dystonia,8A02.0Y
Retina disorder,9B70-9B7Z
Lower urinary tract symptom,GB71
Corneal deformity,9A78.5
Keratoconus,9A78.50
Crigler-najjar syndrome type 1,5C58.00
Pneumonia due to Klebsiella pneumoniae,CA40.03
Intestinal toxicities from therapy,DA94.1
Stress urinary incontinence,MF50.20
Arterial calcification,BD52.Y
Inflammation associated with osteoarthritis,FA00-FA05
Retinoblastoma,2D02.2
Legionella infection,1C19
Absence seizure,8A68.2
Shock,MG40
Cholesterol metabolism disorder,5C8Z
Parathyroid disease,5A50-5A5Z
Coxiella infection,1C33
Aicardi-Goutieres syndrome,5C55.2
Muscle hypertonia,MB47.8
Hyperglycemia,MA18.0
Pharyngitis,CA02.Z
Sarcopenia,FB32.Y
Central nervous system injury,KA40
Endocrine disease,5B3Z
Muscle wasting disease,8E4A.3
Corneal abrasion,NA06.4
Klebsiella infection,1C4Y
Ataxia,MB45.0
Hearing disorder,AB50-AB57
Viral encephalitis,1C80
Herpetic keratitis,1F00.10
Entamoeba histolytica infection,1A36.Z
Polyomavirus infection,1C80
Hypernatremia,5C71
Nervous system inflammation,1D0Y
Lung inflammation,CA40.Z
Bone resorption,FC0Z
Coxsackie virus infection,1D91
Upper respiratory infection,CA07
Genitourinary tract cancer,2C8Z
Fetal growth restriction,KA20.1Z
Contracture,FA30-FA34
Hyperaldosteronism,5A72
Myocardial fibrosis,BC43.20
Leukopenia,4B00.0Z
Mitochondrial disease,5C53.Y
Contusion,ND56.0
Kidney injury,NB92.0
Carbacephem,1A00-1C4Z
Advanced/metastatic breast cancer,2C60
Paramyxovirus infection,1C8E.Y
Maple-syrup-urine disease,5C50.D0
Insulinoma,2C10.1
Nematode infection,1F60-1F69
Hypersalivation,DA04.6
Cerebral amyloid angiopathy,5D00.0
Sebaceous gland disease,EM0Z
Proctitis,DB33.Z
Maroteaux-lamy syndrome,5C56.33
Sinusitis,CA0A.Z
Retrovirus infection,1D9Y
Adrenal adenoma,2F37.Y
Conjunctival fibrosis,9A61.3
Stress,6B40-6B45
Recurrent herpes labialis,1F00.01
Junin virus infection,1D6Y
Optic neuritis,9C40.1
HIV-associated dementia,6D85.3
Pyloric stenosis,DA40.0
T-cell mediated immune dysfunction,4A01.1Y
Asbestosis,CA60.2
Leukodystrophy,8A44
