disease_name,icd11_code
Tinea pedis,1F28.2
Articular cartilage disorder,FA34.Y
Cerebrovascular ischaemia,8B1Z
Lung cancer,2C25.0
Skin infection,1F28-1G0Z
Alcoholic hepatitis,DB94.1
Diabetic neuropathy,8C0Z
Peripheral arterial disease,BD4Z
HER2/NEU overexpressing breast cancer,2C60-2C65
Postoperative inflammation,1A00-CA43.1
Hormone replacement therapy,8E01
Circadian rhythm sleep disorder,7A60-7A65
Insecticide,N.A.
Active duodenal ulcer,DA63
Idiopathic parkinson disease,8A00.0Z
Influenza A virus infection,1E30
Pheochromocytoma,5A75
Gram-positive bacterial infection,1B74-1G40
Cryopyrin-associated periodic syndromes,4A60.1
Vasculitis,4A44
Urticaria,EB00-EB05
Liver disease,DB90-BD99
Diagnostic radiopharmaceutical,N.A.
Urinary tract disease,GC2Z
Phenylketonuria,5C50.0
Nicotine dependence,6C4A.2
Tobacco dependence,6C4A.2
Hypotension,BA20-BA21
Gastroesophageal reflux disease,DA22.Z
Neurological disorder,6B60
Leishmania braziliensis infection,1F54.2
Hepatitis A virus infection,1E50.0
Measles,1F03
Dental plaque,DA08.4
Ischemic stroke,8B11.5Z
Congenital alopecia,LC30
Dizziness,MB48
Heart attack,BA41
Cystitis,GC00
Vasomotor symptom,CA08
Menopause symptom,GA30.0
Proliferative vitreoretinopathy,9B78.2
Stroke,8B20
Venous thromboembolism,BD72
Embolism,JB42
Testosterone deficiency,5A81.1
Acute lung injury,NB32.3
Hepatitis virus infection,1E50-1E51
Female sexual arousal dysfunction,HA01.1
Night blindness,9D45
Kinetoplastids,1F61-1G2Z
Hypothyroidism,5A00
Endocarditis,BB40-BA42
Sickle-cell anaemia,3A51
Chronic myelomonocytic leukaemia,2A40
Essential tremor or related tremors,8A04.1
Haemophilus influenza,1G40
Hyperthyroidism,5A02
Skin imperfections,EK71
Chemotherapy-induced nausea,MD90
Hyperphenylalaninemia,5C50
Pulmonary tuberculosis,1B10.Z
Arteriosclerosis,BD40
Bone metastases,2D50
Anaemia,3A90
Beta thalassemia,3A50.2
Chronic periodontitis,DA0C.Y
Advanced gum disease,DA0D
Gastric cancer,2B72
Cutaneous melanoma,2C30
Obstructive lung disease,CA22.Z
Carcinoma,2A00-2F9Z
Hypokalemia,5C77
Organophosphate poisoning,NE6Z
Carcinoid syndrome,5B10
Carcinoid syndrome diarrhea,DA90.0
Nausea and vomiting,MD90
Bronchitis,CA20
Infection of P. falciparum,1F40
Postpartum haemorrhage,JA43
Blastic plasmacytoid dendritic cell neoplasm,2A60.5
Rotavirus infection (Diarrhoea),ME05.1
